StrongsNumber,GreekWord,Definition
G4512,rhutis/hroo-tece',"from 4506; a fold (as drawing together), i.e. a wrinkle (especially on the face):--wrinkle. see G4506"
G4513,Rhomaikos/rho-mah-ee-kos',"from 4514; Romaic, i.e. Latin:--Latin. see G4514"
G4514,Rhomaios/hro-mah'-yos,"from 4516; Romaean, i.e. Roman (as noun):--Roman, of Rome. see G4516"
G4515,Rhomaisti/hro-mah-is-tee',"adverb from a presumed derivative of 4516; Romaistically, i.e. in the Latin language:--Latin. see G4516"
G4516,Rhome/hro'-may,"from the base of 4517; strength; Roma, the capital of Italy:--Rome. see G4517"
G4517,rhonnumi/hrone'-noo-mee,"prolongation from rhoomai (to dart; probably akin to 4506); to strengthen, i.e. (impersonal passive) have health (as a parting exclamation, good-bye):-- farewell. see G4506"
G4518,sabachthani/sab-akh-than-ee',"of Chaldee or (7662 with pronominal suffix); thou hast left me; sabachthani (i.e. shebakthani), a cry of distress:--sabachthani. see H7662"
G4519,sabaoth/sab-ah-owth',"of Hebrew origin (6635 in feminine plural); armies; sabaoth (i.e. tsebaoth), a military epithet of God:--sabaoth. see H6635"
G4520,sabbatismos/sab-bat-is-mos',"from a derivative of 4521; a ""sabbatism"", i.e. (figuratively) the repose of Christianity (as a type of heaven):-- rest. see G4521"
G4521,sabbaton/sab'-bat-on,"of Hebrew origin (7676); the Sabbath (i.e. Shabbath), or day of weekly repose from secular avocations (also the observance or institution itself); by extension, a se'nnight, i.e. the interval between two Sabbaths; likewise the plural in all the above applications:-- sabbath (day), week. see H7676"
G4522,sagene/sag-ay'-nay,"from a derivative of satto (to equip) meaning furniture, especially a pack-saddle (which in the East is merely a bag of netted rope); a ""seine"" for fishing:--net."
G4536,salpigx/sal'-pinx,perhaps from 4535 (through the idea of quavering or reverberation); a trumpet:--trump(-et). see G4535
G4537,salpizo/sal-pid'-zo,"from 4536; to trumpet, i.e. sound a blast (literally or figuratively):- -(which are yet to) sound (a trumpet). see G4536"
G4538,salpistes/sal-pis-tace',from 4537; a trumpeter:--trumpeter. see G4537
G4539,Salome/sal-o'-may,"probably of Hebrew origin (feminine from 7965); Salome (i.e. Shelomah), an Israelitess:--Salome. see H7965"
G4540,Samareia/sam-ar'-i-ah,"of Hebrew origin (8111); Samaria (i.e. Shomeron), a city and region of Palestine:--Samaria. see H8111"
G4541,Samareites/sam-ar-i'-tace,"from 4540; a Samarite, i.e. inhabitant of Samaria:--Samaritan. see G4540"
G4542,Samareitis/sam-ar-i'-tis,"feminine of 4541; a Samaritess, i.e. woman of Samaria:--of Samaria. see G4541"
G4543,Samothraike/sam-oth-rak'-ay,"from 4544 and Thraike (Thrace); Samo-thrace (Samos of Thrace), an island in the Mediterranean:-- Samothracia. see G4544"
G4544,Samos/sam'-os,"of uncertain affinity; Samus, an island of the Mediterranean:--Samos."
G4545,Samouel/sam-oo-ale',"of Hebrew origin (8050); Samuel (i.e. Shemuel), an Israelite:-- Samuel. see H8050"
G4546,Sampson/samp-sone',"of Hebrew origin (8123); Sampson (i.e. Shimshon), an Israelite:-- Samson. see H8123"
G4547,sandalion/san-dal'-ee-on,"neuter of a derivative of sandalon (a ""sandal""; of uncertain origin); a slipper or sole-pad:--sandal."
G4548,sanis/san-ece',of uncertain affinity; a plank:--board.
G4549,Saoul/sah-ool',"of Hebrew origin (7586); Saul (i.e. Shaul), the Jewish name of Paul:-- Saul. Compare 4569. see G4569 see H7586"
G4550,sapros/sap-ros',"from 4595; rotten, i.e. worthless (literally or morally):--bad, corrupt. Compare 4190. see G4595 see G4190"
G4562,Sarouch/sar-ooch',"of Hebrew origin (8286); Saruch (i.e. Serug), a patriarch:--Saruch. see H8286"
G4563,saroo/sar-o'-o,from a derivative of sairo (to brush off; akin to 4951); meaning a broom; to sweep:--sweep. see G4951
G4564,Sarrha/sar'-hrah,"of Hebrew origin (8283); Sarra (i.e. Sarah), the wife of Abraham:-- Sara, Sarah. see H8283"
G4565,Saron/sar'-one,"of Hebrew origin (8289); Saron (i.e. Sharon), a district of Palestine:-- Saron. see H8289"
G4566,Satan/sat-an',"of Hebrew origin (7854); Satan, i.e. the devil:--Satan. Compare 4567. see G4567 see H7854"
G4567,Satanas/sat-an-as',"of Chaldee origin corresponding to 4566 (with the definite affix); the accuser, i.e. the devil:--Satan. see H4566"
G4568,saton/sat'-on,of Hebrew origin (5429); a certain measure for things dry:--measure. see H5429
G4569,Saulos/sow'-los,"of Hebrew origin, the same as 4549; Saulus (i.e. Shaul), the Jewish name of Paul:--Saul. see G4549"
G4570,sbennumi/sben'-noo-mee,"a prolonged form of an apparently primary verb; to extinguish (literally or figuratively):--go out, quench."
G4571,se/seh,"accusative case singular of 4771; thee:--thee, thou, X thy house. see G4771"
G4572,"seautou/seh-ow-too', genitive case from (and 846","seautoi seh-ow-to', and accusative case seauton seh-ow-ton', likewise contracted sautou sow-too', sautoi sow-to', and sauton sow- ton', respectively of (with, to) thyself:--thee, thine own self, (thou) thy(-self). see G4571 see G846"
G4573,sebazomai/seb-ad'-zom-ahee,"middle voice from a derivative of 4576; to venerate, i.e. adore:--worship. see G4576"
G4574,sebasma/seb'-as-mah,"from 4573; something adored, i.e. an object of worship (god, altar, etc):--devotion, that is worshipped. see G4573"
G4575,sebastos/seb-as-tos',"from 4573; venerable (august), i.e. (as noun) a title of the"
G4589,Seth/sayth,"of Hebrew origin (8352); Seth (i.e. Sheth), a patriarch:--Seth. see H8352"
G4590,Sem/same,"of Hebrew origin (8035); Sem (i.e. Shem), a patriarch:-- Sem. see H8035"
G4591,semaino/say-mah'-ee-no,from sema (a mark; of uncertain derivation); to indicate:--signify.
G4592,semeion/say-mi'-on,"neuter of a presumed derivative of the base of 4591; an indication, especially ceremonially or supernaturally:--miracle, sign, token, wonder. see G4591"
G4593,semeioo/say-mi-o'-o,"from 4592; to distinguish, i.e. mark (for avoidance):--note. see G4592"
G4594,semeron/say'-mer-on,"neuter (as adverb) of a presumed compound of the article 3588 (t changed to s) and 2250; on the (i.e. this) day (or night current or just passed); generally, now (i.e. at present, hitherto):--this (to-)day. see G3588 see G2250"
G4595,sepo/say'-po,"apparently a primary verb; to putrefy, i.e. (figuratively) perish:--be corrupted."
G4596,serikos/say-ree-kos',"from Ser (an Indian tribe from whom silk was procured; hence the name of the silk-worm); Seric, i.e. silken (neuter as noun, a silky fabric):--silk."
G4597,ses/sace,apparently of Hebrew origin (5580); a moth:--moth. see H5580
G4598,setobrotos/say-tob'-ro-tos,from 4597 and a derivative of 977; moth-eaten:--motheaten. see G4597 see G977
G4599,sthenoo/sthen-o'-o,"from sthenos (bodily vigor; probably akin to the base of 2476); to strengthen, i.e. (figuratively) confirm (in spiritual knowledge and power):--strengthen. see G2476"
G4600,siagon/see-ag-one',"of uncertain derivation; the jaw-bone, i.e. (by implication) the cheek or side of the face:--cheek."
G4601,sigao/see-gah'-o,"from 4602; to keep silent (transitively or intransitively):--keep close (secret, silence), hold peace. see G4602"
G4617,siniazo/sin-ee-ad'-zo,from sinion (a sieve); to riddle (figuratively):--sift.
G4618,siteutos/sit-yoo-ros',"from a derivative of 4621; grain-fed, i.e. fattened:--fatted. see G4621"
G4619,sitistos/sit-is-tos',"from a derivative of 4621; grained, i.e. fatted:--fatling. see G4621"
G4620,sitometron/sit-om'-et-ron,"from 4621 and 3358; a grain-measure, i.e. (by implication) ration (allowance of food):--portion of meat. see G4621 see G3358"
G4621,"sitos/see'-tos, also plural irregular neuter","of uncertain derivation; grain, especially wheat:--corn, wheat."
G4622,Sion/see-own',"of Hebrew origin (6726); Sion (i.e. Tsijon), a hill of Jerusalem; figuratively, the Church (militant or triumphant):--Sion. see H6726"
G4623,siopao/see-o-pah'-o,"from siope (silence, i.e. a hush; properly, muteness, i.e. involuntary stillness, or inability to speak; and thus differing from 4602, which is rather a voluntary refusal or indisposition to speak, although the terms are often used synonymously); to be dumb (but not deaf also, like 2974 properly); figuratively, to be calm (as quiet water):--dumb, (hold) peace. see G4602"
G4624,skandalizo/skan-dal-id'-zo,"from 4625; to entrap, i.e. trip up (figuratively, stumble (transitively) or entice to sin, apostasy or displeasure):--(make to) offend. see G4625"
G4625,skandalon/skan'-dal-on,"(""scandal;"" probably from a derivative of 2578; a trap-stick (bent sapling), i.e. snare (figuratively, cause of displeasure or sin):--occasion to fall (of stumbling), offence, thing that offends, stumblingblock. see G2578"
G4626,skapto/skap'-to,apparently a primary verb; to dig:--dig.
G4627,skaphe/skaf'-ay,"a ""skiff"" (as if dug out), or yawl (carried aboard a large vessel for landing):--boat."
G4639,skia/skee'-ah,"apparently a primary word; ""shade"" or a shadow (literally or figuratively (darkness of error or an adumbration)):-- shadow."
G4640,skirtao/skeer-tah'-o,"akin to skairo (to skip); to jump, i.e. sympathetically move (as the quickening of a fetus):--leap (for joy)."
G4641,sklerokardia/sklay-rok-ar-dee'-ah,"feminine of a compound of 4642 and 2588; hard- heartedness, i.e. (specially), destitution of (spiritual) perception:--hardness of heart. see G4642 see G2588"
G4642,skleros/sklay-ros',"from the base of 4628; dry, i.e. hard or tough (figuratively, harsh, severe):--fierce, hard. see G4628"
G4643,sklerotes/sklay-rot'-ace,"from 4642; callousness, i.e. (figuratively) stubbornness:-- hardness. see G4642"
G4644,sklerotrachelos/sklay-rot-rakh'-ay-los,"from 4642 and 5137; hardnaped, i.e. (figuratively) obstinate:--stiffnecked. see G4642 see G5137"
G4645,skleruno/sklay-roo'-no,"from 4642; to indurate, i.e. (figuratively) render stubborn:-- harden. see G4642"
G4646,skolios/skol-ee-os',"from the base of 4628; warped, i.e. winding; figuratively, perverse:-- crooked, froward, untoward. see G4628"
G4647,skolops/skol'-ops,"perhaps from the base of 4628 and 3700; withered at the front, i.e. a point or prickle (figuratively, a bodily annoyance or disability):--thorn. see G4628 see G3700"
G4648,skopeo/skop-eh'-o,"from 4649; to take aim at (spy), i.e. (figuratively) regard:--consider, take heed, look at (on), mark. Compare 3700. see G4649 see G3700"
G4649,skopos/skop-os',"from skeptomai (to peer about (""skeptic""); perhaps akin to 4626 through the idea of concealment; compare 4629); a watch (sentry or scout), i.e. (by implication) a goal:- -mark. see G4626 see G4629"
G4650,skorpizo/skor-pid'-zo,"apparently from the same as 4651 (through the idea of penetrating); to dissipate, i.e. (figuratively) put to flight, waste,"
G4663,skolex/sko'-lakes,"of uncertain derivation; a grub, maggot or earth-worm:--worm."
G4664,smaragdinos/smar-ag'-dee-nos,from 4665; consisting of emerald:--emerald. see G4665
G4665,smaragdos/smar'-ag-dos,of uncertain derivation; the emerald or green gem so called:-- emerald.
G4666,smurna/smoor'-nah,apparently strengthened for 3464; myrrh:--myrrh. see G3464
G4667,Smurna/smoor'-nah,"the same as 4666; Smyrna, a place in Asia Minor:--Smyrna. see G4666"
G4668,Smurnaios/smoor-nah'-yos,from 4667; a Smyrnoean:--in Smyrna. see G4667
G4669,smurnizo/smoor-nid'-zo,"from 4667; to tincture with myrrh, i.e. embitter (as a narcotic):-- mingle with myrrh. see G4667"
G4670,Sodoma/sod'-om-ah,"plural of Hebrew origin (5467); Sodoma (i.e. Sedom), a place in Palestine:--Sodom. see H5467"
G4671,soi/soy,"dative case of 4771; to thee:-- thee, thine own, thou, thy. see G4771"
G4672,Solomon/sol-om-one',"of Hebrew origin (8010); Solomon (i.e. Shelomoh), the son of David:- -Solomon. see H8010"
G4673,soros/sor-os',"probably akin to the base of 4987; a funereal receptacle (urn, coffin), i.e. (by analogy) a bier:--bier. see G4987"
G4674,sos/sos,"from 4771; thine:--thine (own), thy (friend). see G4771"
G4675,sou/soo,"genitive case of 4771; of thee, thy:--X home, thee, thine (own), thou, thy. see G4771"
G4676,soudarion/soo-dar'-ee-on,"of Latin origin; a sudarium (sweat-cloth), i.e. towel (for wiping the perspiration from the face, or binding the face of a corpse):--handkerchief, napkin."
G4677,Sousanna/soo-san'-nah,"of Hebrew origin (7799 feminine); lily; Susannah (i.e. Shoshannah), an Israelitess:--Susanna. see H7799"
G4678,sophia/sof-ee'-ah,"from 4680; wisdom (higher or lower, worldly or spiritual):--wisdom. see G4680 ""sperm""); by implication, offspring; specially, a remnant (figuratively, as if kept over for planting):-- issue, seed. see G4687"
G4691,spermologos/sper-mol-og'-os,"from 4690 and 3004; a seed-picker (as the crow), i.e. (figuratively) a sponger, loafer (specially, a gossip or trifler in talk):--babbler. see G4690 see G3004"
G4692,speudo/spyoo'-do,"probably strengthened from 4228; to ""speed"" (""study""), i.e. urge on (diligently or earnestly); by implication, to await eagerly:--(make, with) haste unto. see G4228"
G4693,spelaion/spay'-lah-yon,"neuter of a presumed derivative of speos (a grotto); a cavern; by implication, a hiding-place or resort:--cave, den."
G4694,spilas/spee-las',of uncertain derivation; a ledge or reef of rock in the sea:--spot (by confusion with 4696). see G4696
G4695,spiloo/spee-lo'-o,"from 4696; to stain or soil (literally or figuratively):--defile, spot. see G4696"
G4696,spilos/spee'-los,"of uncertain derivation; a stain or blemish, i.e. (figuratively) defect, disgrace:--spot."
G4697,splagchnizomai/splangkh-nid'-zom- ahee,"middle voice from 4698; to have the bowels yearn, i.e. (figuratively) feel sympathy, to pity:-- have (be moved with) compassion. see G4698"
G4698,splagchnon/splangkh'-non,"probably strengthened from splen (the ""spleen""); an intestine (plural); figuratively, pity or sympathy:--bowels, inward affection, + tender mercy."
G4699,spoggos/spong'-gos,"perhaps of foreign origin; a ""sponge"":--spunge."
G4700,spodos/spod-os',of uncertain derivation; ashes:--ashes.
G4701,spora/spor-ah',"from 4687; a sowing, i.e. (by implication) parentage:--seed. see G4687"
G4702,sporimos/spor'-ee-mos,"from 4703; sown, i.e. (neuter plural) a planted field:--corn(- field). see G4703"
G4703,sporos/spro'-os,"from 4687; a scattering (of seed), i.e. (concretely) seed (as sown):--seed (X sown). see G4687 a pole or cross (as an instrument of capital punishment); figuratively, exposure to death, i.e. self-denial; by implication, the atonement of Christ:--cross. see G2476"
G4717,stauroo/stow-ro'-o,"from 4716; to impale on the cross; figuratively, to extinguish (subdue) passion or selfishness:--crucify. see G4716"
G4718,staphule/staf-oo-lay',probably from the base of 4735; a cluster of grapes (as if intertwined):- -grapes. see G4735
G4719,stachus/stakh'-oos,from the base of 2476; a head of grain (as standing out from the stalk):--ear (of corn). see G2476
G4720,Stachus/stakh'-oos,"the same as 4719; Stachys, a Christian:--Stachys. see G4719"
G4721,stege/steg'-ay,"strengthened from a primary tegos (a ""thatch"" or ""deck"" of a building); a roof:--roof."
G4722,stego/steg'-o,"from 4721; to roof over, i.e. (figuratively) to cover with silence (endure patiently):--(for-)bear, suffer. see G4721"
G4723,steiros/sti'-ros,"a contraction from 4731 (as stiff and unnatural); ""sterile"":--barren. see G4731"
G4724,stello/stel'-lo,"probably strengthened from the base of 2476; properly, to set fast (""stall""), i.e. (figuratively) to repress (reflexively, abstain from associating with):--avoid, withdraw self. see G2476"
G4725,stemma/stem'-mah,from the base of 4735; a wreath for show:--garland. see G4735
G4726,stenagmos/sten-ag-mos',from 4727; a sigh:--groaning. see G4727
G4727,stenazo/sten-ad'-zo,"from 4728; to make (intransitively, be) in straits, i.e. (by implication) to sigh, murmur, pray inaudibly:--with grief, groan, grudge, sigh. see G4728"
G4728,stenos/sten-os',probably from the base of 2476; narrow (from obstacles standing close about):--strait. see G2476
G4729,stenochoreo/sten-okh-o-reh'-o,"from the same as 4730; to hem in closely, i.e. (figuratively) cramp:--distress, straiten. see G4730 (for recognition of ownership), i.e. (figuratively) scar of service:--mark."
G4743,stigme/stig-may',"feminine of 4742; a point of time, i.e. an instant:--moment. see G4742"
G4744,stilbo/stil'-bo,"apparently a primary verb; to gleam, i.e. flash intensely:--shining."
G4745,stoa/sto-ah',probably from 2476; a colonnade or interior piazza:--porch. see G2476
G4746,stoibas/stoy-bas',"from a primary steibo (to ""step"" or ""stamp""); a spread (as if tramped flat) of loose materials for a couch, i.e. (by implication) a bough of a tree so employed:--branch."
G4747,stoicheion/stoy-khi'-on,"neuter of a presumed derivative of the base of 4748; something orderly in arrangement, i.e. (by implication) a serial (basal, fundamental, initial) constituent (literally), proposition (figuratively):--element, principle, rudiment. see G4748"
G4748,stoicheo/stoy-kheh'-o,"from a derivative of steicho (to range in regular line); to march in (military) rank (keep step), i.e. (figuratively) to conform to virtue and piety:--walk (orderly)."
G4749,stole/stol-ay',"from 4724; equipment, i.e. (specially), a ""stole"" or long-fitting gown (as a mark of dignity):--long clothing (garment), (long) robe. see G4724"
G4750,stoma/stom'-a,"probably strengthened from a presumed derivative of the base of 5114; the mouth (as if a gash in the face); by implication, language (and its relations); figuratively, an opening (in the earth); specially, the front or edge (of a weapon):--edge, face, mouth. see G5114"
G4751,stomachos/stom'-akh-os,"from 4750; an orifice (the gullet), i.e. (specially), the ""stomach"":-- stomach. see G4750"
G4752,strateia/strat-i'-ah,"from 4754; military service, i.e. (figuratively) the apostolic career (as one of hardship and danger):--warfare. see G4754"
G4753,strateuma/strat'-yoo-mah,"from 4754; an armament, i.e. (by implication) a body of troops (more or less extensive or systematic):--army, soldier, man of war. see G4754"
G4764,strenos/stray'-nos,"akin to 4731; a ""straining"", ""strenuousness"" or ""strength"", i.e. (figuratively) luxury (voluptuousness):--delicacy. see G4731"
G4765,strouthion/stroo-thee'-on,diminutive of strouthos (a sparrow); a little sparrow:--sparrow.
G4766,"stronnumi/strone'-noo-mee, or simpler","stroo stro'-o, (used only as an alternate in certain tenses) (probably akin to 4731 through the idea of positing); to ""strew,"" i.e. spread (as a carpet or couch):--make bed, furnish, spread, strew. see G4731"
G4767,stugnetos/stoog-nay-tos',"from a derivative of an obsolete apparently primary stugo (to hate); hated, i.e. odious:--hateful."
G4768,stugnazo/stoog-nad'-zo,"from the same as 4767; to render gloomy, i.e. (by implication) glower (be overcast with clouds, or sombreness of speech):--lower, be sad. see G4767"
G4769,stulos/stoo'-los,"from stuo (to stiffen; properly akin to the base of 2476); a post (""style""), i.e. (figuratively) support:--pillar. see G2476"
G4770,Stoikos/sto-ik-os',"from 4745; a ""Stoic"" (as occupying a particular porch in Athens), i.e. adherent of a certin philosophy:--Stoick. see G4745"
G4771,su/soo,"the person pronoun of the second person singular; thou:-- thou. See also 4571, 4671, 4675; and for the plural 5209, 5210, 5213, 5216. see G4675 see G4571 see G4671 see G5209 see G5210 see G5213 see G5216"
G4772,suggeneia/soong-ghen'-i-ah,"from 4773; relationship, i.e. (concretely) relatives:-- kindred. see G4773"
G4773,suggenes/soong-ghen-ace',"from 4862 and 1085; a relative (by blood); by extension, a fellow countryman:--cousin, kin(-sfolk, -sman). see G4862 see G1085"
G4774,suggnome/soong-gno'-may,"from a compound of 4862 and 1097; fellow knowledge, i.e. concession:--permission. see G4862 see G1097"
G4775,sugkathemai/soong-kath'-ay-mahee,from 4862 and 2521; to seat oneself in company with:--sit with. see G4862 see G2521 excite as a mass (to sedition):--stir up. see G4682 see G2795
G4788,sugkleio/soong-kli'-o,"from 4862 and 2808; to shut together, i.e. include or (figuratively) embrace in a common subjection to:--conclude, inclose, shut up. see G4862 see G2808"
G4789,sugkleronomos/soong-klay-ron-om'- os,"from 4862 and 2818; a co-heir, i.e. (by analogy) participant in common:--fellow (joint)-heir, heir together, heir with. see G4862 see G2818"
G4790,sugkoinoneo/soong-koy-no-neh'-o,"from 4862 and 2841; to share in company with, i.e. co-participate in:--communicate (have fellowship) with, be partaker of. see G4862 see G2841"
G4791,sugkoinonos/soong-koy-no-nos',"from 4862 and 2844; a co-participant:--companion, partake(-r, -r with). see G4862 see G2844"
G4792,sugkomizo/soong-kom-id'-zo,"from 4862 and 2865; to convey together, i.e. collect or bear away in company with others:--carry. see G4862 see G2865"
G4793,sugkrino/soong-kree'-no,"from 4862 and 2919; to judge of one thing in connection with another, i.e. combine (spiritual ideas with appropriate expressions) or collate (one person with another by way of contrast or resemblance):-- compare among (with). see G4862 see G2919"
G4794,sugkupto/soong-koop'-to,"from 4862 and 2955; to stoop altogether, i.e. be completely overcome by:--bow together. see G4862 see G2955"
G4795,sugkuria/soong-koo-ree'-ah,"from a comparative of 4862 and kureo (to light or happen; from the base of 2962); concurrence, i.e. accident:-- chance. see G4862 see G2962"
G4796,sugchairo/soong-khah'-ee-ro,"from 4862 and 5463; to sympathize in gladness, congratulate:--rejoice in (with). see G4862 see G5463"
G4797,sugcheo/soong-kheh'-o,"from 4862 and cheo (to pour) or its alternate; to commingle promiscuously, i.e. (figuratively) to throw (an assembly) into disorder, to perplex (the mind):-- confound, confuse, stir up, be in an uproar. see G4862"
G4811,sukophanteo/soo-kof-an-teh'-o,"from a compound of 4810 and a derivative of 5316; to be a fig-informer (reporter of the law forbidding the exportation of figs from Greece), ""sycophant"", i.e. (genitive and by extension) to defraud (exact unlawfully, extort):--accuse falsely, take by false accusation. see G4810 see G5316"
G4812,sulagogeo/soo-lag-ogue-eh'-o,"from the base of 4813 and (the reduplicated form of) 71; to lead away as booty, i.e. (figuratively) seduce:-- spoil. see G4813 see G71"
G4813,sulao/soo-lah'-o,from a derivative of sullo (to strip; probably akin to 138; compare 4661); to despoil:--rob. see G138 see G4661
G4814,sullaleo/sool-lal-eh'-o,"from 4862 and 2980; to talk together, i.e. converse:--commune (confer, talk) with, speak among. see G4862 see G2980"
G4815,sullambano/sool-lam-ban'-o,"from 4862 and 2983; to clasp, i.e. seize (arrest, capture); specially, to conceive (literally or figuratively); by implication, to aid:--catch, conceive, help, take. see G4862 see G2983"
G4816,sullego/sool-leg'-o,"from 4862 and 3004 in its original sense; to collect:--gather (together, up). see G4862 see G3004"
G4817,sullogizomai/sool-log-id'-zom-ahee,"from 4862 and 3049; to reckon together (with oneself), i.e. deliberate:--reason with. see G4862 see G3049"
G4818,sullupeo/sool-loop-eh'-o,"from 4862 and 3076; to afflict jointly, i.e. (passive) sorrow at (on account of) someone:--be grieved. see G4862 see G3076"
G4819,sumbaino/soom-bah'-ee-no,"from 4862 and the base of 939; to walk (figuratively, transpire) together, i.e. concur (take place):--be(-fall), happen (unto). see G4862 see G939"
G4820,sumballo/soom-bal'-lo,"from 4862 and 906; to combine, i.e. (in speaking) to converse, consult, dispute, (mentally) to consider, (by implication) to aid, (personally) to join, attack:-- confer, encounter, help, make, meet with, ponder. see G4862 see G906 imitator, i.e. fellow votary:--follower together. see G4862 see G3401"
G4832,summorphos/soom-mor-fos',"from 4862 and 3444; jointly formed, i.e. (figuratively) similar:--conformed to, fashioned like unto. see G4862 see G3444"
G4833,summorphoo/soom-mor-fo'-o,"from 4832; to render like, i.e. (figuratively) to assimilate:--make conformable unto. see G4832"
G4834,sumpatheo/soom-path-eh'-o,"from 4835; to feel ""sympathy"" with, i.e. (by implication) to commiserate:--have compassion, be touched with a feeling of. see G4835"
G4835,sumpathes/soom-path-ace',"from 4841; having a fellow-feeling (""sympathetic""), i.e. (by implication) mutually commiserative:--having compassion one of another. see G4841"
G4836,sumparaginomai/soom-par-ag-in'-om- ahee,"from 4862 and 3854; to be present together, i.e. to convene; by implication, to appear in aid:-- come together, stand with. see G4862 see G3854"
G4837,sumparakaleo/soom-par-ak-al-eh'-o,from 4862 and 3870; to console jointly:--comfort together. see G4862 see G3870
G4838,sumparalambano/soom-par-al-am- ban'-o,from 4862 and 3880; to take along in company:--take with. see G4862 see G3880
G4839,sumparameno/soom-par-am-en'-o,"from 4862 and 3887; to remain in company, i.e. still live:--continue with. see G4862 see G3887"
G4840,sumpareimi/soom-par'-i-mee,"from 4862 and 3918; to be at hand together, i.e. now present:--be here present with. see G4862 see G3918"
G4841,sumpascho/soom-pas'-kho,"from 4862 and 3958 (including its alternate); to experience pain jointly or of the same kind (specially, persecution; to ""sympathize""):--suffer with. see G4862 see G3958"
G4842,sumpempo/soom-pem'-po,from 4862 and 3992; to despatch in company:--send with. see G4862 see G3992
G4853,sumphuletes/soom-foo-let'-ace,"from 4862 and a derivative of 5443; a co-tribesman, i.e. native of the same country:--countryman. see G4862 see G5443"
G4854,sumphutos/soom'-foo-tos,"from 4862 and a derivative of 5453; grown along with (connate), i.e. (figuratively) closely united to:-- planted together. see G4862 see G5453"
G4855,sumphuo/soom-foo'-o,"from 4862 and 5453; passive, to grow jointly:--spring up with. see G4862 see G5453"
G4856,sumphoneo/soom-fo-neh'-o,"from 4859; to be harmonious, i.e. (figuratively) to accord (be suitable, concur) or stipulate (by compact):-- agree (together, with). see G4859"
G4857,sumphonesis/soom-fo'-nay-sis,from 4856; accordance:--concord. see G4856
G4858,sumphonia/soom-fo-nee'-ah,"from 4859; unison of sound (""symphony""), i.e. a concert of instruments (harmonious note):--music. see G4859"
G4859,sumphonos/soom'-fo-nos,"from 4862 and 5456; sounding together (alike), i.e. (figuratively) accordant (neuter as noun, agreement):-- consent. see G4862 see G5456"
G4860,sumpsephizo/soom-psay-fid'-zo,from 4862 and 5585; to compute jointly:--reckon. see G4862 see G5585
G4861,sumpsuchos/soom'-psoo-khos,"from 4862 and 5590; co-spirited, i.e. similar in sentiment:--like-minded. see G4862 see G5590"
G4862,sun/soon,"a primary preposition denoting union; with or together (but much closer than 3326 or 3844), i.e. by association, companionship, process, resemblance, possession, instrumentality, addition, etc.:--beside, with. In composition it has similar applications, including completeness. see G3326 see G3844"
G4863,sunago/soon-ag'-o,"from 4862 and 71; to lead together, i.e. collect or convene; specially, to entertain (hospitably):--+ accompany, assemble (selves, together), bestow, come together, gather (have, keep) company (with). see G4862 see G303 see G3396"
G4875,sunanapauomai/soon-an-ap-ow'-om- ahee,middle from 4862 and 373; to recruit oneself in company with:--refresh with. see G4862 see G373
G4876,sunantao/soon-an-tah'-o,"from 4862 and a derivative of 473; to meet with; figuratively, to occur:--befall, meet. see G4862 see G473"
G4877,sunantesis/soon-an'-tay-sis,from 4876; a meeting with:--meet. see G4876
G4878,sunantilambanomai/soon-an-tee-lam- ban'-om-ahee,"from 4862 and 482; to take hold of opposite together, i.e. co-operate (assist):--help. see G4862 see G482"
G4879,sunapago/soon-ap-ag'-o,"from 4862 and 520; to take off together, i.e. transport with (seduce, passively, yield):--carry (lead) away with, condescend. see G4862 see G520"
G4880,sunapothnesko/soon-ap-oth-nace'-ko,"from 4862 and 599; to decease (literally) in company with, or (figuratively), similarly to:--be dead (die) with. see G4862 see G599"
G4881,sunapollumi/soon-ap-ol'-loo-mee,"from 4862 and 622; to destroy (middle voice or passively, be slain) in company with:--perish with. see G4862 see G622"
G4882,sunapostello/soon-ap-os-tel'-lo,from 4862 and 649; to despatch (on an errand) in company with:--send with. see G4862 see G649
G4883,sunarmologeo/soon-ar-mol-og-eh'-o,"from 4862 and a derivative of a compound of 719 and 3004 (in its original sense of laying); to render close-jointed together, i.e. organize compactly:--be fitly framed (joined) together. see G4862 see G719 see G3004"
G4884,sunarpazo/soon-ar-pad'-zo,"from 4862 and 726; to snatch together, i.e. seize:--catch. see G4862 see G726"
G4885,sunauxano/soon-owx-an'-o,from 4862 and 837; to increase (grow up) together:--grow together. see G4862 see G837
G4896,suneimi/soon'-i-mee,from 4862 and eimi (to go); to assemble:--gather together. see G4862
G4897,suneiserchomai/soon-ice-er'-khom- ahee,"from 4862 and 1525; to enter in company with:--go in with, go with into. see G4862 see G1525"
G4898,sunekdemos/soon-ek'-day-mos,"from 4862 and the base of 1553; a co-absentee from home, i.e. fellow-traveller:--companion in travel, travel with. see G4862 see G1553"
G4899,suneklektos/soon-ek-lek-tos',"from a compound of 4862 and 1586; chosen in company with, i.e. co-elect (fellow Christian):--elected together with. see G4862 see G1586"
G4900,sunelauno/soon-el-ow'-no,"from 4862 and 1643; to drive together, i.e. (figuratively) exhort (to reconciliation):--+ set at one again. see G4862 see G1643"
G4901,sunepimartureo/soon-ep-ee-mar-too- reh'-o,"from 4862 and 1957; to testify further jointly, i.e. unite in adding evidence:--also bear witness. see G4862 see G1957"
