StrongsNumber,GreekWord,Definition
G190,akoloutheo/ak-ol-oo-theh'-o,"from 1 (as a particle of union) and keleuthos (a road); properly, to be in the same way with, i.e. to accompany (specially, as a disciple):--follow, reach. see G1"
G191,akouo/ak-oo'-o,"a primary verb; to hear (in various senses):--give (in the) audience (of), come (to the ears), (shall) hear(-er, -ken), be noised, be reported, understand. the heap, i.e. (by implication) best of the booty:-- spoils. see G206"
G206,akron/ak'-ron,"neuter of an adjective probably akin to the base of 188; the extremity:-- one end... other, tip, top, uttermost participle see G188"
G207,Akulas/ak-oo'-las,"probably for Latin aquila (an eagle); Akulas, an Israelite:--Aquila."
G208,akuroo/ak-oo-ro'-o,"from 1 (as a negative particle) and 2964; to invalidate:--disannul, make of none effect. see G1 see G2964"
G209,akolutos/ak-o-loo'-toce,"adverb from a compound of 1 (as a negative particle) and a derivative of 2967; in an unhindered manner, i.e. freely:--no man forbidding him. see G1 see G2967"
G210,akon/ak'-ohn,from 1 (as a negative particle) and 1635; unwilling:--against the will. see G1 see G1635
G211,alabastron/al-ab'-as-tron,"neuter of alabastros (of uncertain derivation), the name of a stone; properly, an ""alabaster"" box, i.e. (by extension) a perfume vase (of any material):-- (alabaster) box."
G212,alazoneia/al-ad-zon-i'-a,"from 213; braggadocio, i.e. (by implication) self-confidence:-- boasting, pride. see G213"
G213,alazon/al-ad-zone',from ale (vagrancy); braggart:--boaster.
G214,alalazo/al-al-ad'-zo,"from alale ( a shout, ""halloo""); to vociferate, i.e. (by implication) to wail; figuratively, to clang:--tinkle, wail."
G215,alaletos/al-al'-ay-tos,"from 1 (as a negative particle) and a derivative of 2980; unspeakable:--unutterable, which cannot be uttered. see G1 see G2980"
G216,alalos/al'-al-os,from 1 (as a negative particle) and 2980; mute:--dumb. see G1 see G2980
G217,halas/hal'-as,"from 251; salt; figuratively, prudence:--salt. see G251"
G218,aleipho/al-i'-fo,from 1 (as particle of union) and the base of 3045; to oil (with perfume):-- anoint. see G1 see G3045
G235,alla/al-lah',"neuter plural of 243; properly, other things, i.e. (adverbially) contrariwise (in many relations):--and, but (even), howbeit, indeed, nay, nevertheless, no, notwithstanding, save, therefore, yea, yet. see G243"
G236,allasso/al-las'-so,from 243; to make different:--change. see G243
G237,allachothen/al-lakh-oth'-en,from 243; from elsewhere:--some other way. see G243
G238,allegoreo/al-lay-gor-eh'-o,from 243 and agoreo (to harangue (compare 58)); to allegorize:-- be an allegory (the Greek word itself). see G243 see G58
G239,allelouia/al-lay-loo'-ee-ah,"of Hebrew origin (imperative of 1984 and 3050); praise ye Jah!, an adoring exclamation:--alleluiah. see H1984 see H3050"
G240,allelon/al-lay'-lone,"Genitive plural from 243 reduplicated; one another:--each other, mutual, one another, (the other), (them-, your-)selves, (selves) together (sometimes with 3326 or 4314). see G243 see G3326 see G4314"
G241,allogenes/al-log-en-ace',"from 243 and 1085; foreign, i.e. not a Jew:--stranger. see G243 see G1085"
G242,hallomai/hal'-lom-ahee,"middle voice of apparently a primary verb; to jump; figuratively, to gush:--leap, spring up."
G243,allos/al'-los,"a primary word; ""else,"" i.e. different (in many applications):--more, one (another), (an-, some an-)other(-s, -wise)."
G244,allotriepiskopos/al-lot-ree-ep-is'-kop-os,"from 245 and 1985; overseeing others' affairs, i.e. a meddler (specially, in Gentile customs):--busybody in other men's matters. see G245 see G1985"
G245,allotrios/al-lot'-ree-os,"from 243; another's, i.e. not one's own; by extension foreign, not akin, hostile:--alien, (an-)other (man's, men's), strange(-r). see G243"
G246,allophulos/al-lof'-oo-los,"from 243 and 5443; foreign, i.e. (specially) Gentile:--one of another nation. see G243 see G5443"
G262,amarantinos/am-ar-an'-tee-nos,"from 263; ""amaranthine"", i.e. (by implication) fadeless:-- that fadeth not away. see G263"
G263,amarantos/am-ar'-an-tos,"from 1 (as a negative particle) and a presumed derivative of 3133; unfading, i.e. (by implication) perpetual:--that fadeth not away. see G1 see G3133"
G264,hamartano/ham-ar-tan'-o,"perhaps from 1 (as a negative particle) and the base of 3313; properly, to miss the mark (and so not share in the prize), i.e. (figuratively) to err, especially (morally) to sin:--for your faults, offend, sin, trespass. see G1 see G3313"
G265,hamartema/ham-ar'-tay-mah,from 264; a sin (properly concrete):--sin. see G264
G266,hamartia/ham-ar-tee'-ah,"from 264; a sin (properly abstract):--offence, sin(-ful). see G264"
G267,amarturos/am-ar'-too-ros,from 1 (as a negative particle) and a form of 3144; unattested:-- without witness. see G1 see G3144
G268,hamartolos/ham-ar-to-los',"from 264; sinful, i.e. a sinner:--sinful, sinner. see G264"
G269,amachos/am'-akh-os,from 1 (as a negative particle) and 3163; peaceable:--not a brawler. see G1 see G3163
G270,amao/am-ah'-o,"from 260; properly, to collect, i.e. (by implication) reap:--reap down. see G260"
G271,amethustos/am-eth'-oos-tos,"from 1 (as a negative particle) and a derivative of 3184; the ""amethyst"" (supposed to prevent intoxication):-- amethyst. see G1 see G3184"
G272,ameleo/am-el-eh'-o,"from 1 (as a negative particle) and 3199; to be careless of:--make light of, neglect, be negligent, no regard. see G1 see G3199"
G273,amemptos/am'-emp-tos,"from 1 (as a negative particle) and a derivative of 3201; irreproachable:--blameless, faultless, unblamable. see G1 see G3201"
G274,amemptos/am-emp'-toce,"adverb from 273; faultlessly:--blameless, unblamably. see G273"
G288,ampelos/am'-pel-os,probably from the base of 297 and that of 257; a vine (as coiling about a support):--vine. see G297 see G257
G289,ampelourgos/am-pel-oor-gos',"from 288 and 2041; a vine-worker, i.e. pruner:--vine-dresser. see G288 see G2041"
G290,ampelon/am-pel-ohn',from 288; a vineyard:--vineyard. see G288
G291,Amplias/am-plee'-as,"contracted for Latin ampliatus (enlarged); Amplias, a Roman Christian:--Amplias."
G292,amunomai/am-oo'-nom-ahee,"middle voice of a primary verb; to ward off (for oneself), i.e. protect:--defend."
G293,amphiblestron/am-fib'-lace-tron,from a compound of the base of 297 and 906; a (fishing) net (as thrown about the fish):--net. see G297 see G906
G294,amphiennumi/am-fee-en'-noo-mee,from the base of 297 and hennumi (to invest); to enrobe:--clothe. see G297
G295,Amphipolis/am-fip'-ol-is,"from the base of 297 and 4172; a city surrounded by a river; Amphipolis, a place in Macedonia:--Amphipolis. see G297 see G4172"
G296,amphodon/am'-fod-on,from the base of 297 and 3598; a fork in the road:--where two ways meet. see G297 see G3598
G297,amphoteros/am-fot'-er-os,comparative of amphi (around); (in plural) both:--both.
G298,amometos/am-o'-may-tos,from 1 (as a negative particle) and a derivative of 3469; unblamable:--blameless. see G1 see G3469
G299,amomos/am'-o-mos,"from 1 (as a negative particle) and 3470; unblemished (literally or figuratively):--without blame (blemish, fault, spot), faultless, unblamable. see G1 see G3470"
G300,Amon/am-one',"of Hebrew origin (526); Amon, an Israelite:--Amon. see H526"
G301,Amos/am-oce',"of Hebrew origin (531); Amos, an Israelite:--Amos. see H531"
G302,an/an,"a primary particle, denoting a supposition, wish, possibility or uncertainty:--"
G316,anagkaios/an-ang-kah'-yos,"from 318; necessary; by implication, close (of kin):--near, necessary, necessity, needful. see G318"
G317,anagkastos/an-ang-kas-toce',adverb from a derivative of 315; compulsorily:--by constraint. see G315
G318,anagke/an-ang-kay',"from 303 and the base of 43; constraint (literally or figuratively); by implication, distress:--distress, must needs, (of) necessity(-sary), needeth, needful. see G303 see G43"
G319,anagnorizomai/an-ag-no-rid'-zom-ahee,middle voice from 303 and 1107; to make (oneself) known:--be made known. see G303 see G1107
G320,angnosis/an-ag'-no-sis,from 314; (the act of) reading:--reading. see G314
G321,anago/an-ag'-o,"from 303 and 71; to lead up; by extension to bring out; specially, to sail away:--bring (again, forth, up again), depart, launch (forth), lead (up), loose, offer, sail, set forth, take up. see G303 see G71"
G322,anadeiknumi/an-ad-ike'-noo-mee,"from 303 and 1166; to exhibit, i.e. (by implication) to indicate, appoint:--appoint, shew. see G303 see G1166"
G323,anadeixis/an-ad'-ike-sis,from 322; (the act of) exhibition:--shewing. see G322
G324,anadechomai/an-ad-ekh'-om-ahee,from 303 and 1209; to entertain (as a guest):--receive. see G303 see G1209
G325,anadidomi/an-ad-eed'-om-ee,from 303 and 1325; to hand over:--deliver. see G303 see G1325
G326,anazao/an-ad-zah'-o,"to recover life (literally or figuratively):--(be a-)live again, revive."
G327,anazeteo/an-ad-zay-teh'-o,from 303 and 2212; to search out:--seek. see G303 see G2212
G328,anazonnumi/an-ad-zone'-noo-mee,from 303 and 2224; to gird afresh:--gird up. see G303 see G2224
G329,anazopureo/an-ad-zo-poor-eh'-o,from 303 and a compound of the base of 2226 and 4442;
G341,anakainoo/an-ak-ahee-no'-o,from 303 and a derivative of 2537; to renovate:--renew. see G303 see G2537
G342,anakainosis/an-ak-ah'-ee-no-sis,from 341; renovation:--renewing. see G341
G343,anakalupto/an-ak-al-oop'-to,"from 303 (in the sense of reversal) and 2572; to unveil:--open, (un-)taken away. see G303 see G2572"
G344,anakampto/an-ak-amp'-to,from 303 and 2578; to turn back:--(re-)turn. see G303 see G2578
G345,anakeimai/an-ak-i'-mahee,"from 303 and 2749; to recline (as a corpse or at a meal):-- guest, lean, lie, sit (down, at meat), at the table. see G303 see G2749"
G346,anakephalaiomai/an-ak-ef-al-ah'-ee- om-ahee,"from 303 and 2775 (in its original sense); to sum up:--briefly comprehend, gather together in one. see G303 see G2775"
G347,anaklino/an-ak-lee'-no,"from 303 and 2827; to lean back:--lay, (make) sit down. see G303 see G2827"
G348,anakopto/an-ak-op'-to,"from 303 and 2875; to beat back, i.e. check:--hinder. see G303 see G2875"
G349,anakrazo/an-ak-rad'-zo,from 303 and 2896; to scream up (aloud):--cry out. see G303 see G2896
G350,anakrino/an-ak-ree'-no,"from 303 and 2919; properly, to scrutinize, i.e. (by implication) investigate, interrogate, determine:--ask, question, discern, examine, judge, search. see G303 see G2919"
G351,anakrisis/an-ak'-ree-sis,from 350; a (judicial) investigation:--examination. see G350
G352,anakupto/an-ak-oop'-to,"from 303 (in the sense of reversal) and 2955; to unbend, i.e. rise; figuratively, be elated:--lift up, look up. see G303 see G2955"
G353,analambano/an-al-am-ban'-o,"from 303 and 2983; to take up:--receive up, take (in, unto, up). see G303 see G2983 cannot be spoken against. see G1 see G473 see G4483"
G369,anantirrhetos/an-an-tir-hray'-toce,adverb from 368; promptly:--without gainsaying. see G368
G370,anaxios/an-ax'-ee-os,from 1 (as a negative particle) and 514; unfit:--unworthy. see G1 see G514
G371,anaxios/an-ax-ee'-oce,adverb from 370; irreverently:--unworthily. see G370
